score,nose.x,nose.y,nose.score,leftEye.x,leftEye.y,leftEye.score,rightEye.x,rightEye.y,rightEye.score,leftEar.x,leftEar.y,leftEar.score,rightEar.x,rightEar.y,rightEar.score,leftShoulder.x,leftShoulder.y,leftShoulder.score,rightShoulder.x,rightShoulder.y,rightShoulder.score,leftElbow.x,leftElbow.y,leftElbow.score,rightElbow.x,rightElbow.y,rightElbow.score,leftWrist.x,leftWrist.y,leftWrist.score,rightWrist.x,rightWrist.y,rightWrist.score,leftHip.x,leftHip.y,leftHip.score,rightHip.x,rightHip.y,rightHip.score,leftKnee.x,leftKnee.y,leftKnee.score,rightKnee.x,rightKnee.y,rightKnee.score,leftAnkle.x,leftAnkle.y,leftAnkle.score,rightAnkle.x,rightAnkle.y,rightAnkle.score,shotType
0.884198967,59.19817913,43.25435653,0.931243777,60.05653945,39.85796383,0.892030597,58.75130739,44.10844647,0.933209419,67.09424624,40.45300317,0.730217338,53.2930723,45.09527006,0.69269979,76.26504267,52.77536889,0.98179543,50.49765027,56.71483496,0.982626736,86.85406043,68.22631777,0.931185842,49.38068019,74.43584635,0.940129757,82.66264622,84.14616269,0.813267946,57.44565674,91.60738993,0.915999949,84.08850881,82.19610726,0.977377415,64.40927528,87.55443588,0.965220213,90.09712011,112.3860489,0.967403412,58.15674006,108.2695067,0.871725559,101.9322614,152.4168319,0.725033402,53.44840024,143.6781056,0.780215859,scoop
0.682362653,101.807169,125.2062727,0.914577365,98.46855787,118.53524,0.206004113,97.54266405,120.2768882,0.922701538,82.57692686,119.1377603,0.053679198,85.98581455,122.6302032,0.965860128,83.81691424,144.7145128,0.961712241,74.47223886,148.7799797,0.993983507,103.3032369,171.5810279,0.811249912,93.13040114,176.607362,0.947970033,140.9764212,169.9679898,0.788773537,131.8948709,175.2602544,0.728733122,85.28740434,204.3979986,0.872026801,75.82513535,209.0160325,0.911059856,156.7845326,206.6107783,0.487533361,151.8820262,208.1335817,0.579867005,166.7434752,265.3487684,0.289169163,70.71919126,261.4965535,0.165264219,scoop
0.903232964,69.72286952,38.50527663,0.972970009,72.6308266,35.29087838,0.957146049,65.30186991,35.48001315,0.966757298,79.49583002,34.09774276,0.82480514,63.3215433,33.48541928,0.605093241,88.68832124,47.68066406,0.981329918,59.33529449,51.41242654,0.99140203,101.6226386,58.18540966,0.890897393,56.34331907,72.12379248,0.923579037,93.93382982,72.90508107,0.818254232,67.14285468,79.11506386,0.847100139,94.37851961,85.27057811,0.962376773,65.2917528,85.79279384,0.969887495,121.3701716,107.9508889,0.98075217,57.64770508,101.6996629,0.845458925,118.4637285,136.0776256,0.969146729,106.0815952,137.3523994,0.848003805,scoop
0.746230441,73.63350716,112.7052277,0.990687251,76.28713823,108.2960196,0.963667214,67.92479341,108.8889393,0.996063054,80.61067158,109.8051168,0.385567158,59.06254215,111.0177541,0.921889126,88.11994619,130.3308836,0.993296742,52.80806545,133.8720062,0.997871339,103.2555903,149.9558979,0.963202775,51.43528207,172.1889629,0.992169917,113.4357734,172.8737382,0.90692997,90.88944313,180.8196428,0.887334883,85.9855919,181.5777315,0.819653749,58.65376098,204.2254199,0.935617208,116.0708713,247.9978331,0.196881592,56.84400032,251.2765432,0.584539354,50.74140497,264.0619716,0.057862401,51.6181738,265.8368834,0.092683762,scoop
0.833237406,100.6989891,74.07836766,0.934628785,100.7599055,70.19495092,0.232902676,96.71373775,72.55508779,0.921841502,79.3664628,68.49350836,0.077542871,85.53975324,72.38289651,0.943262696,90.11544847,94.51914984,0.964628339,73.1171159,99.00496665,0.996145129,111.0755119,117.9683789,0.902628005,99.45650806,124.5823782,0.981766701,149.9780677,113.5139643,0.927892327,128.603461,120.2468486,0.687437713,95.07700107,149.8847041,0.956129789,75.32924548,154.4627327,0.987212658,153.5452757,152.6794849,0.937065482,82.04052402,173.7951435,0.875007033,163.4706609,210.6212868,0.934628367,62.99035039,219.3727486,0.904315829,scoop
0.083655147,98.9509731,57.86857308,0.014330149,129.1214642,73.4918958,0.010896504,129.3015061,73.56770734,0.009371459,130.1815701,71.57851935,0.019842327,132.5228799,72.48910392,0.031219661,-47.34471188,1.199215024,0.033648223,132.668634,82.6875798,0.029833257,64.32287016,218.8474781,0.059224367,62.3534711,244.6304737,0.132139772,182.4077205,119.476924,0.074137986,109.9993576,105.3697608,0.094308317,69.90231466,201.5331105,0.070964038,56.40859047,215.6909037,0.042423189,188.2869201,111.5235117,0.069313526,184.1646603,113.0852696,0.062052161,182.752397,131.8685598,0.412507027,174.7882709,133.7458273,0.255925536,scoop
0.803436777,109.7038774,74.32800026,0.951581359,105.1750094,72.21492663,0.960511804,99.19411329,71.71609337,0.935750544,112.0626784,70.13826036,0.66644001,92.85365004,72.16907902,0.668103456,119.4729994,77.01500622,0.969498396,83.11764016,75.26752457,0.926920652,122.2373933,98.62489812,0.811871648,81.0677495,71.41092798,0.511072636,116.8648865,94.78894542,0.541620314,91.06105107,96.40780794,0.448570609,121.8356478,89.50408164,0.870842159,95.75118722,88.15423097,0.831282616,118.2390324,105.1556806,0.950896978,76.39951298,99.26738813,0.762039423,128.3359097,131.3227969,0.941248119,67.31219162,128.5204728,0.910174489,scoop
0.176510071,112.9854729,35.31798129,0.19639948,99.32369425,83.34852285,0.196780801,96.11417422,87.06273179,0.140498847,129.0514638,28.47253747,0.105789989,116.107154,32.20342718,0.073870093,141.2013666,45.06846773,0.540025115,124.865883,43.44649259,0.203292489,158.7404303,76.96329852,0.254476517,137.9338602,98.71557807,0.257378131,178.4288993,104.8380247,0.090462774,169.804133,114.4714741,0.116710633,144.5580568,113.4336776,0.12825194,140.1344388,115.8277014,0.289985001,81.99367004,222.5248522,0.04116717,168.3295283,141.3171137,0.043495864,176.4479938,182.9424194,0.195062876,171.5441871,186.213595,0.127023488,scoop
0.011587324,81.20531015,72.50810022,0.00353837,88.83368347,63.37348849,0.00319466,106.2846499,89.16328816,0.002642632,106.9478195,89.06676593,0.005875409,107.1653195,87.73037209,0.005597681,-47.06789176,3.880739398,0.020111591,-48.98843705,6.236876402,0.012901962,175.3211649,121.5495336,0.042314172,180.2045948,119.6355738,0.018753707,124.0687151,86.25168856,0.008220434,118.2517144,166.966396,0.010296226,-44.21034379,247.6766683,0.009544313,82.15176772,269.1868585,0.015029162,67.45598641,259.8090086,0.012343109,53.82470157,267.0638504,0.012725681,85.78265298,279.4312177,0.005733132,88.58721247,279.349408,0.00816226,scoop
0.058344021,152.6194532,106.6721252,0.01814425,159.3385155,106.0747258,0.010834873,107.4405121,74.75591578,0.011984736,160.6243327,104.8306328,0.016475439,162.4209215,105.2909168,0.008681238,181.9865958,116.632751,0.020804018,-52.38502193,5.677573134,0.014982462,87.05391791,268.8400981,0.035774469,87.45551202,272.6537682,0.064853489,166.5875505,115.9058686,0.078154951,163.0840198,117.0724713,0.036362648,70.03331166,233.6654129,0.037344486,78.2758453,267.9921132,0.048666239,72.46271868,262.3261567,0.076898634,74.63276785,263.6544729,0.067828983,136.1695286,161.8174631,0.188448191,135.4246384,159.2187191,0.255609244,scoop
0.641759855,67.3537733,96.36767792,0.92162025,70.03478113,89.36913932,0.925885975,65.36036391,91.3415842,0.921092927,75.96742504,85.007364,0.581021547,56.3499896,87.24223037,0.64559871,90.42982703,92.69201375,0.962642372,52.87063836,95.08200323,0.985394001,119.5963641,134.0399894,0.874034047,47.90255773,142.9986739,0.965718389,94.41589771,137.662236,0.593462586,57.58134716,135.2522616,0.473784864,103.6758601,126.6952337,0.193146616,61.37405277,123.4108684,0.284009367,121.344291,138.1230365,0.509798527,49.61965242,145.0379665,0.521925509,177.1590237,186.1374851,0.26451993,65.03039111,192.2985032,0.286261916,scoop
0.363474474,122.6284517,79.34919127,0.237986207,124.4446869,77.15875648,0.163057625,121.6463972,77.59408617,0.222990721,129.1005888,79.92709564,0.259577513,111.3358138,72.84010802,0.160038501,137.3700628,90.25327334,0.457254797,102.9945047,73.06177162,0.383842826,127.1767524,73.76477728,0.32417959,103.7039493,85.5848676,0.197260708,133.2101488,80.33490608,0.340165645,109.2132509,99.88015023,0.18114531,114.5075817,99.15997398,0.451502591,107.5398308,98.27885906,0.545345783,109.8877487,114.4122677,0.427005291,108.7346474,115.4970696,0.679530144,108.4856382,145.9151628,0.336933792,104.7867296,144.139966,0.811249018,scoop
0.393315633,65.432101,101.3557879,0.387583703,71.8878156,89.80865479,0.269346237,60.52291514,94.39387934,0.476090223,123.5516381,142.5059723,0.15592593,54.04020673,97.67076366,0.163827211,100.2096985,93.32406604,0.350120693,50.23212952,118.3429525,0.537928641,138.5402991,193.8219657,0.400632113,49.10367973,151.6728145,0.583572745,139.8159992,194.9265298,0.255832136,87.02081465,169.3260519,0.608577549,123.4877471,208.0748918,0.633821368,95.54693912,208.1437523,0.42483604,119.7981897,250.2735242,0.606491029,78.35761935,243.9158814,0.36290735,119.9090683,279.4205128,0.251832843,103.7854918,280.0408271,0.217039943,scoop
0.245929332,88.91940284,123.413558,0.3221367,84.66476559,117.201126,0.06288442,84.86911165,119.2731746,0.227509946,75.27691437,114.5319898,0.066148281,76.85391912,117.6253322,0.383369565,90.16249839,132.1546889,0.206236809,55.54092348,126.8482282,0.446808636,106.3352533,163.6152453,0.244810194,48.08873574,143.4137248,0.446096659,129.8047255,189.8306227,0.261642158,124.5450743,191.3849352,0.612734079,71.12853351,215.9631395,0.246185422,67.46921168,215.8643196,0.298685789,65.03297383,267.5943041,0.062039286,59.59100983,146.0247144,0.091374099,129.3351526,194.2298741,0.076197267,129.8500566,195.2968375,0.125939339,scoop
0.33153565,115.6801691,97.7728788,0.488137126,120.1605533,92.95445305,0.698079586,113.4151295,94.64230074,0.651675224,125.845996,96.06143046,0.28247273,102.5178605,100.2090454,0.274353564,135.13126,113.843759,0.661392808,98.14738411,109.2973642,0.390378058,142.5844898,135.2702337,0.526871264,89.95929228,135.0340758,0.29494521,127.6632999,155.1423603,0.368395269,113.7726127,146.1056513,0.156072885,128.2479906,164.4247923,0.458775669,102.7770402,164.2434324,0.267289072,131.8553999,188.1697599,0.041187584,104.0042209,185.1653696,0.032892764,131.2288514,187.9724406,0.023863018,131.9588153,187.4496638,0.019324213,scoop
